ID,Education,Marital_Status,Age,Age_Group,Income,Income_Group,Response,Total_Spent,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
10629,2n Cycle,Married,52,46-60,51381.5,Mid,0,109,25,3,43,17,4,17
6312,Graduation,Married,66,61-80,65031.0,High,0,863,258,107,291,84,37,86
8132,PhD,Married,50,46-60,60631.0,High,0,661,565,6,65,0,6,19
1050,Graduation,Married,73,61-80,28332.0,Low,0,65,14,10,13,4,15,9
5846,Graduation,Divorced,48,46-60,40246.0,Mid,0,13,2,1,6,2,1,1
1859,Master,Married,53,46-60,75251.0,High,1,1890,721,111,925,97,18,18
7503,Graduation,Single,49,46-60,75825.0,High,1,2209,1032,105,779,137,105,51
10401,2n Cycle,Together,49,46-60,26326.0,Low,0,18,1,0,5,0,3,9
1618,Graduation,Together,60,46-60,56046.0,Mid,1,692,577,0,64,0,0,51
3332,Graduation,Single,40,31-45,29760.0,Low,0,165,64,4,68,7,5,17
2261,Graduation,Married,56,46-60,26304.0,Low,0,16,4,1,5,2,0,4
5346,2n Cycle,Married,52,46-60,23559.0,Low,0,79,25,5,19,7,0,23
4119,Master,Together,62,61-80,38620.0,Mid,0,318,112,17,44,34,22,89
535,Graduation,Divorced,38,31-45,81361.0,High,0,778,163,23,424,27,65,76
5268,Graduation,Married,65,61-80,29440.0,Low,0,56,17,8,14,10,4,3
273,Master,Married,55,46-60,36138.0,Mid,0,151,130,0,16,0,0,5
4452,Graduation,Single,68,61-80,50388.0,Mid,1,372,292,6,37,0,3,34
8504,Graduation,Married,52,46-60,79593.0,High,0,1366,350,60,568,110,133,145
771,Graduation,Together,58,46-60,54178.0,Mid,0,194,135,9,39,4,0,7
8996,PhD,Married,68,61-80,51381.5,Mid,0,603,230,42,192,49,37,53
9235,Graduation,Single,68,61-80,51381.5,Mid,0,18,7,0,8,2,0,1
5798,Master,Together,52,46-60,51381.5,Mid,0,985,445,37,359,98,28,18
11178,Master,Single,53,46-60,42394.0,Mid,0,32,15,2,10,0,1,4
2230,PhD,Married,55,46-60,23626.0,Low,0,43,27,2,14,0,0,0
7516,Graduation,Married,42,31-45,30096.0,Mid,0,45,5,3,11,12,5,9
7247,Graduation,Widow,65,61-80,47916.0,Mid,0,606,505,0,26,0,0,75
11100,Graduation,Divorced,53,46-60,51813.0,Mid,0,63,51,2,7,0,1,2
4646,2n Cycle,Married,74,61-80,78497.0,High,0,978,207,26,447,75,0,223
3037,PhD,Married,42,31-45,50150.0,Mid,0,410,135,46,92,65,61,11
1473,2n Cycle,Single,65,61-80,47823.0,Mid,0,72,53,1,5,2,1,10
1016,PhD,Single,66,61-80,34554.0,Mid,0,55,41,1,6,2,0,5
4518,Graduation,Together,46,46-60,85693.0,High,0,1169,386,172,183,185,132,111
9370,PhD,Married,80,61-80,65846.0,High,0,1120,562,81,276,80,40,81
8908,Graduation,Married,66,61-80,87195.0,High,1,1097,217,76,690,50,26,38
8373,Basic,Together,46,46-60,24594.0,Low,0,29,1,3,6,10,0,9
7533,Graduation,Married,61,61-80,49096.0,Mid,0,187,144,1,32,2,1,7
2683,Graduation,Married,56,46-60,52413.0,Mid,0,910,295,106,271,75,98,65
3629,Graduation,Single,47,46-60,38557.0,Mid,0,145,76,3,31,4,4,27
10991,Master,Married,65,61-80,89058.0,High,0,850,454,194,106,31,22,43
5077,Graduation,Together,46,46-60,77298.0,High,0,969,425,115,292,23,35,79
7431,PhD,Single,34,31-45,68126.0,High,1,1820,1332,17,311,23,51,86
3267,Master,Together,62,61-80,57288.0,Mid,0,608,527,0,21,0,0,60
999,Graduation,Single,34,31-45,86037.0,High,1,730,490,44,125,29,20,22
9215,PhD,Married,45,31-45,43974.0,Mid,0,551,378,0,101,0,0,72
2286,Graduation,Single,63,61-80,50785.0,Mid,0,114,64,1,21,0,1,27
1592,Graduation,Married,55,46-60,90765.0,Very High,0,1724,547,99,812,151,82,33
367,2n Cycle,Married,47,46-60,36550.0,Mid,0,577,47,90,94,123,103,120
5234,2n Cycle,Together,58,46-60,30753.0,Mid,0,81,12,5,25,0,9,30
9862,Graduation,Together,56,46-60,21918.0,Low,0,33,1,6,7,11,5,3
9805,Master,Together,72,61-80,56129.0,Mid,0,660,320,48,133,39,72,48
6205,Master,Single,58,46-60,32557.0,Mid,1,80,34,3,29,0,4,10
8442,Master,Married,40,31-45,19510.0,Low,0,30,9,0,7,3,4,7
7386,Graduation,Divorced,49,46-60,30992.0,Mid,0,43,17,0,14,7,3,2
7215,Graduation,Single,42,31-45,101970.0,Very High,1,1135,722,27,102,44,72,168
1491,2n Cycle,Together,60,46-60,71488.0,High,0,559,162,33,124,40,28,172
11071,Graduation,Single,41,31-45,79607.0,High,1,1923,450,133,951,173,0,216
3381,Master,Married,72,61-80,54348.0,Mid,0,90,70,0,16,0,0,4
8268,PhD,Married,64,61-80,51381.5,Mid,0,404,352,0,27,10,0,15
11051,PhD,Together,69,61-80,77376.0,High,0,661,492,19,110,16,12,12
8026,Graduation,Married,73,61-80,62998.0,High,0,463,120,58,73,65,89,58
433,Master,Alone,67,61-80,61331.0,High,0,632,534,5,47,0,5,41
9597,Graduation,Married,56,46-60,73448.0,High,0,725,236,106,189,23,41,130
1295,Graduation,Married,62,61-80,51381.5,Mid,0,725,231,65,196,38,71,124
5290,PhD,Married,61,61-80,41551.0,Mid,0,279,220,0,33,3,0,23
1685,PhD,Together,58,46-60,62981.0,High,0,1482,796,14,590,38,44,0
5342,Basic,Divorced,49,46-60,9548.0,Low,0,29,0,1,3,10,6,9
9579,PhD,Married,66,61-80,33762.0,Mid,0,106,53,1,34,2,0,16
7660,PhD,Alone,52,46-60,35860.0,Mid,1,49,15,0,8,4,2,20
1461,PhD,Divorced,60,46-60,36921.0,Mid,0,38,17,1,12,3,1,4
821,Master,Single,33,31-45,92859.0,Very High,0,2077,962,61,921,52,61,20
11084,Master,Together,49,46-60,65104.0,High,1,1053,738,0,232,13,20,50
8690,Graduation,Married,63,61-80,86111.0,High,0,1385,399,28,756,36,40,126
2937,PhD,Single,51,46-60,68352.0,High,0,871,614,16,132,43,33,33
9701,Graduation,Together,37,31-45,41883.0,Mid,0,312,32,34,41,73,16,116
9949,Graduation,Married,49,46-60,59809.0,Mid,0,877,598,16,141,32,41,49
10837,Graduation,Married,50,46-60,23957.0,Low,1,68,2,1,18,20,11,16
3120,Graduation,Together,44,31-45,38547.0,Mid,0,22,6,1,10,0,1,4
5885,2n Cycle,Married,52,46-60,35688.0,Mid,0,211,73,3,90,12,1,32
4050,Master,Married,59,46-60,49605.0,Mid,0,127,42,16,29,12,20,8
3830,Master,Married,72,61-80,59354.0,Mid,0,459,295,21,78,39,13,13
7987,Graduation,Married,56,46-60,65747.0,High,0,460,346,17,48,23,13,13
7798,2n Cycle,Together,53,46-60,46344.0,Mid,0,429,233,20,57,8,20,91
92,Graduation,Alone,37,31-45,34176.0,Mid,0,89,5,7,24,19,14,20
7055,PhD,Together,73,61-80,61010.0,High,0,1021,888,0,57,0,0,76
10240,Graduation,Together,76,61-80,69372.0,High,1,1381,997,26,269,34,13,42
3025,Graduation,Single,67,61-80,49967.0,Mid,0,306,212,6,69,4,12,3
9283,Graduation,Single,47,46-60,60199.0,High,0,18,8,1,7,2,0,0
9970,Graduation,Together,48,46-60,55375.0,Mid,0,162,42,11,57,10,28,14
2730,Graduation,Single,70,61-80,80317.0,High,0,1231,536,11,387,149,91,57
2795,Master,Single,67,61-80,30523.0,Mid,0,13,5,0,3,0,0,5
9260,PhD,Married,80,61-80,70356.0,High,0,1706,1349,16,249,43,16,33
8182,Graduation,Married,41,31-45,23228.0,Low,0,121,53,3,49,7,4,5
10095,PhD,Divorced,50,46-60,74165.0,High,0,1293,1001,12,240,16,12,12
8475,PhD,Married,52,46-60,157243.0,Very High,0,1608,20,2,1582,1,2,1
4370,Graduation,Together,59,46-60,43482.0,Mid,0,88,18,1,32,6,3,28
10573,Graduation,Divorced,72,61-80,62551.0,High,0,421,125,16,98,134,21,27
3712,Graduation,Divorced,66,61-80,52332.0,Mid,0,259,212,5,33,7,0,2
6637,Graduation,Single,37,31-45,66951.0,High,0,1117,277,162,305,173,76,124
3152,Graduation,Together,68,61-80,26091.0,Low,0,89,15,10,19,8,17,20
5610,Graduation,Together,60,46-60,33456.0,Mid,0,36,7,3,10,8,1,7
6460,Graduation,Married,43,31-45,28718.0,Low,0,57,12,4,6,11,8,16
1349,Graduation,Married,55,46-60,50447.0,Mid,0,148,85,7,24,2,3,27
1880,PhD,Together,66,61-80,53537.0,Mid,0,93,81,0,6,0,0,6
641,Graduation,Single,58,46-60,52074.0,Mid,0,119,59,0,12,0,0,48
8717,PhD,Married,50,46-60,80427.0,High,0,1835,1149,71,449,69,71,26
10314,PhD,Married,77,61-80,83837.0,High,1,1318,847,66,119,86,89,111
10854,PhD,Married,55,46-60,38853.0,Mid,0,45,29,0,14,0,0,2
10492,Graduation,Together,66,61-80,38285.0,Mid,0,10,2,0,5,2,0,1
6935,2n Cycle,Married,74,61-80,78497.0,High,0,978,207,26,447,75,0,223
7698,PhD,Married,49,46-60,51650.0,Mid,0,191,152,3,22,2,5,7
3559,2n Cycle,Married,37,31-45,16248.0,Low,0,57,12,11,10,3,12,9
10562,Master,Married,79,61-80,66835.0,High,0,1033,620,26,195,34,17,141
10796,Master,Married,41,31-45,30477.0,Mid,0,66,47,1,6,0,0,12
2563,Basic,Married,64,61-80,28249.0,Low,0,43,1,9,7,2,14,10
3518,Graduation,Married,42,31-45,25271.0,Low,0,50,10,1,18,10,4,7
5823,PhD,Single,55,46-60,32303.0,Mid,0,39,35,0,2,0,0,2
3934,Graduation,Married,59,46-60,61286.0,High,0,608,356,0,107,19,9,117
6982,Graduation,Married,49,46-60,74068.0,High,0,1581,783,30,537,140,76,15
6431,PhD,Married,61,61-80,45759.0,Mid,0,68,42,1,18,3,0,4
9733,Basic,Together,47,46-60,24882.0,Low,0,80,1,4,10,29,0,36
5602,PhD,Together,36,31-45,66973.0,High,0,1282,466,22,432,147,113,102
7829,2n Cycle,Divorced,125,,36640.0,Mid,0,65,15,6,8,7,4,25
1324,Graduation,Married,37,31-45,38872.0,Mid,0,91,23,3,21,3,19,22
326,Graduation,Married,52,46-60,51148.0,Mid,0,315,235,6,45,8,9,12
7224,Graduation,Married,48,46-60,31353.0,Mid,0,31,10,0,10,3,1,7
6999,Master,Married,45,31-45,69661.0,High,0,834,656,16,106,32,16,8
9938,Graduation,Married,71,61-80,80067.0,High,0,1600,519,17,813,27,173,51
6422,Graduation,Married,71,61-80,86718.0,High,0,1270,344,189,482,50,33,172
3182,PhD,Single,52,46-60,46854.0,Mid,1,263,96,1,79,7,1,79
7300,Graduation,Divorced,73,61-80,69142.0,High,0,535,448,4,34,6,4,39
10424,Graduation,Single,57,46-60,75922.0,High,0,1295,265,138,553,224,23,92
8727,Graduation,Divorced,47,46-60,63693.0,High,0,1150,587,43,337,42,87,54
2798,PhD,Together,48,46-60,102160.0,Very High,1,1240,763,29,138,76,176,58
1030,PhD,Single,60,46-60,40637.0,Mid,0,38,22,0,13,0,0,3
624,Master,Single,41,31-45,18890.0,Low,1,35,6,4,1,7,2,15
5176,Graduation,Together,37,31-45,29604.0,Low,0,53,7,6,13,7,6,14
5552,Master,Divorced,62,61-80,48721.0,Mid,0,293,81,18,113,47,13,21
868,Graduation,Married,59,46-60,44794.0,Mid,0,65,54,0,7,0,0,4
380,Graduation,Divorced,71,61-80,64497.0,High,1,1804,1170,48,320,42,32,192
2677,Graduation,Together,69,61-80,46097.0,Mid,0,241,72,24,68,65,4,8
6521,Graduation,Together,71,61-80,77972.0,High,0,1101,613,22,319,33,102,12
6927,PhD,Married,57,46-60,44377.0,Mid,0,264,224,0,30,0,0,10
2877,Master,Together,51,46-60,46014.0,Mid,0,541,410,0,59,19,9,44
0,Graduation,Married,40,31-45,70951.0,High,0,1198,239,10,554,254,87,54
1584,Graduation,Married,48,46-60,41443.0,Mid,0,482,171,7,171,25,19,89
7264,2n Cycle,Single,47,46-60,52195.0,Mid,0,17,12,0,4,0,0,1
6274,Master,Married,77,61-80,83790.0,High,0,1615,1076,16,417,42,48,16
1377,Master,Widow,71,61-80,44551.0,Mid,0,285,182,4,33,0,0,66
454,Graduation,Together,45,31-45,69508.0,High,0,1135,824,32,162,42,32,43
1755,2n Cycle,Together,37,31-45,45204.0,Mid,0,114,30,11,25,29,1,18
2075,Graduation,Married,56,46-60,72460.0,High,0,1047,377,10,540,80,30,10
4785,PhD,Together,55,46-60,77622.0,High,0,714,520,7,154,19,0,14
9076,PhD,Married,45,31-45,30732.0,Mid,0,185,155,1,25,0,1,3
7079,Graduation,Divorced,63,61-80,63887.0,High,0,1245,897,23,207,15,11,92
4653,Graduation,Together,47,46-60,42011.0,Mid,0,189,131,0,16,2,1,39
7375,Graduation,Together,49,46-60,51369.0,Mid,0,576,297,7,79,0,11,182
709,Graduation,Divorced,73,61-80,51537.0,Mid,0,1103,787,20,204,0,0,92
460,PhD,Married,53,46-60,79930.0,High,0,1753,792,86,740,67,51,17
3726,PhD,Together,39,31-45,34320.0,Mid,0,17,4,1,9,3,0,0
6798,Graduation,Single,59,46-60,37070.0,Mid,1,433,231,7,137,4,15,39
5341,2n Cycle,Divorced,63,61-80,81975.0,High,0,1588,983,76,184,180,138,27
1606,Graduation,Together,54,46-60,38590.0,Mid,0,22,3,1,8,4,3,3
9617,Graduation,Single,74,61-80,15033.0,Low,0,19,0,4,5,6,0,4
3233,PhD,Married,60,46-60,62745.0,High,0,1117,562,21,464,28,10,32
89,2n Cycle,Married,50,46-60,22212.0,Low,0,69,5,9,20,6,8,21
2936,Master,Together,43,31-45,23661.0,Low,0,23,18,0,4,0,0,1
9449,PhD,Single,67,61-80,79761.0,High,0,605,415,5,124,15,35,11
7297,Graduation,Single,52,46-60,7500.0,Low,0,57,5,3,10,12,7,20
11004,2n Cycle,Single,132,,60182.0,High,0,22,8,0,5,7,0,2
313,Graduation,Widow,57,46-60,73455.0,High,0,2088,901,61,757,186,163,20
9940,Graduation,Together,67,61-80,64961.0,High,0,1009,382,114,276,75,124,38
10735,Graduation,Single,54,46-60,22804.0,Low,0,26,14,1,7,2,1,1
9529,Graduation,Married,35,31-45,73687.0,High,1,1627,559,153,503,218,13,181
6439,Graduation,Married,67,61-80,61074.0,High,0,1102,789,0,133,0,28,152
7411,PhD,Married,61,61-80,31686.0,Mid,0,17,11,0,5,0,0,1
2176,Graduation,Married,53,46-60,80134.0,High,1,1690,1218,16,272,104,0,80
9265,Graduation,Married,72,61-80,75027.0,High,0,1390,925,64,179,133,12,77
8867,PhD,Married,37,31-45,67546.0,High,0,2126,864,134,768,150,38,172
8932,Master,Together,56,46-60,65176.0,High,0,1531,960,28,183,220,70,70
10236,Master,Single,50,46-60,31160.0,Mid,0,64,16,3,25,6,1,13
6340,Graduation,Single,40,31-45,29938.0,Low,0,26,3,3,7,0,2,11
10089,Graduation,Divorced,51,46-60,102692.0,Very High,1,1112,168,148,444,32,172,148
2227,2n Cycle,Together,67,61-80,26490.0,Low,0,210,45,47,52,21,20,25
10992,Graduation,Together,58,46-60,75702.0,High,0,1148,650,28,353,45,42,30
5304,PhD,Single,51,46-60,30899.0,Mid,0,33,24,0,8,0,0,1
309,PhD,Together,64,61-80,63342.0,High,0,1101,918,21,118,13,10,21
3406,Graduation,Single,61,61-80,45989.0,Mid,0,322,138,33,87,28,24,12
2661,Graduation,Single,61,61-80,18701.0,Low,0,44,12,4,2,10,6,10
3153,PhD,Single,68,61-80,40737.0,Mid,0,17,11,0,4,0,0,2
10264,Graduation,Divorced,46,46-60,15287.0,Low,1,31,1,2,8,4,3,13
1184,PhD,Divorced,57,46-60,69674.0,High,0,845,554,41,215,11,0,24
4200,Master,Married,55,46-60,44159.0,Mid,0,275,167,2,62,24,13,7
9396,PhD,Married,47,46-60,37717.0,Mid,0,25,9,0,6,4,1,5
2387,Master,Together,73,61-80,43776.0,Mid,1,275,177,2,71,3,2,20
6690,Master,Married,59,46-60,38179.0,Mid,0,90,38,4,22,4,2,20
1225,Graduation,Married,62,61-80,80124.0,High,0,1495,483,84,398,205,84,241
9703,PhD,Married,55,46-60,38097.0,Mid,1,184,77,2,35,0,1,69
291,Graduation,Married,55,46-60,72940.0,High,0,981,182,74,298,162,149,116
4557,Graduation,Together,55,46-60,22070.0,Low,0,67,10,7,19,8,2,21
2379,Graduation,Single,72,61-80,69267.0,High,1,1635,778,44,499,95,73,146
5726,Master,Single,42,31-45,31788.0,Mid,0,60,16,7,23,0,8,6
3066,PhD,Together,50,46-60,61905.0,High,0,231,167,0,43,6,2,13
6336,Graduation,Married,65,61-80,29315.0,Low,0,48,13,2,14,8,7,4
10967,Graduation,Divorced,62,61-80,33378.0,Mid,0,99,33,6,40,3,7,10
2304,PhD,Together,62,61-80,66313.0,High,0,770,625,7,99,10,22,7
3445,Graduation,Single,69,61-80,60714.0,High,1,957,216,162,224,101,92,162
7828,Master,Together,44,31-45,77882.0,High,0,818,68,129,396,188,22,15
3762,PhD,Single,39,31-45,69867.0,High,1,925,196,0,512,33,130,54
4391,Master,Divorced,57,46-60,63841.0,High,0,908,635,15,100,20,7,131
4669,Basic,Married,44,31-45,24480.0,Low,0,102,4,19,9,28,25,17
10144,Graduation,Together,49,46-60,51369.0,Mid,0,576,297,7,79,0,11,182
8652,Graduation,Together,79,61-80,37760.0,Mid,0,317,84,5,38,150,12,28
1672,PhD,Together,51,46-60,65640.0,High,0,461,204,7,149,20,15,66
8962,Master,Married,50,46-60,44319.0,Mid,0,37,26,0,8,0,0,3
9974,Graduation,Married,51,46-60,30631.0,Mid,0,70,15,6,20,4,5,20
10983,Graduation,Together,73,61-80,75278.0,High,0,930,304,98,230,150,74,74
8148,Master,Together,69,61-80,50898.0,Mid,0,859,285,28,242,55,114,135
10102,Graduation,Widow,59,46-60,79946.0,High,0,1478,395,183,565,166,141,28
4697,Master,Divorced,76,61-80,35416.0,Mid,0,390,248,3,81,4,3,51
9262,2n Cycle,Together,41,31-45,32414.0,Mid,0,52,20,6,5,0,9,12
7254,Graduation,Together,56,46-60,38361.0,Mid,0,137,39,0,56,20,8,14
4543,Graduation,Married,45,31-45,82497.0,High,0,1919,777,129,573,216,21,203
4927,Graduation,Together,54,46-60,16626.0,Low,0,68,8,3,22,21,1,13
10451,Graduation,Together,60,46-60,29672.0,Low,0,25,9,1,3,0,4,8
2926,Master,Together,73,61-80,55951.0,Mid,0,1374,1241,0,80,0,13,40
2874,2n Cycle,Divorced,37,31-45,35388.0,Mid,0,32,6,4,7,4,3,8
9738,Master,Together,39,31-45,42386.0,Mid,0,100,65,4,16,0,4,11
7119,Graduation,Single,43,31-45,68627.0,High,0,825,395,15,263,60,54,38
3924,PhD,Divorced,60,46-60,57912.0,Mid,0,916,801,0,80,0,0,35
5827,Graduation,Divorced,67,61-80,35246.0,Mid,0,62,36,0,12,2,2,10
5596,2n Cycle,Together,69,61-80,58821.0,Mid,0,728,513,14,154,19,0,28
10812,PhD,Married,47,46-60,46377.0,Mid,0,90,37,0,46,4,3,0
1717,Graduation,Single,37,31-45,39747.0,Mid,0,273,80,15,93,20,13,52
9491,Graduation,Together,41,31-45,23976.0,Low,0,66,14,1,21,2,3,25
9274,Master,Married,64,61-80,80950.0,High,0,1213,525,147,112,219,147,63
6609,Graduation,Widow,59,46-60,27038.0,Low,1,107,1,26,25,17,23,15
6963,Graduation,Single,78,61-80,77457.0,High,0,1157,675,11,400,15,45,11
4440,Master,Married,61,61-80,64100.0,High,0,546,509,0,27,0,0,10
1379,Master,Together,33,31-45,42670.0,Mid,0,241,154,2,46,20,4,15
10032,Graduation,Divorced,49,46-60,12571.0,Low,0,53,3,5,14,2,12,17
2826,Graduation,Married,58,46-60,22574.0,Low,0,37,25,0,8,2,0,2
2437,Graduation,Married,36,31-45,51381.5,Mid,0,1611,861,138,461,60,30,61
6320,Master,Single,49,46-60,70893.0,High,0,1508,768,44,561,77,44,14
3050,Graduation,Married,59,46-60,54198.0,Mid,0,235,185,0,28,3,2,17
231,Master,Together,69,61-80,28839.0,Low,0,32,24,0,7,0,0,1
2392,Graduation,Married,53,46-60,40321.0,Mid,0,102,44,4,21,6,0,27
9478,Graduation,Single,40,31-45,66503.0,High,0,401,91,64,128,65,3,50
113,Graduation,Married,74,61-80,30833.0,Mid,0,28,11,0,7,3,1,6
2863,Graduation,Single,55,46-60,51381.5,Mid,0,1052,738,20,172,52,50,20
1802,Graduation,Married,54,46-60,64795.0,High,0,680,412,5,119,38,29,77
520,Graduation,Married,51,46-60,34421.0,Mid,0,30,3,3,7,6,2,9
8275,PhD,Divorced,60,46-60,47025.0,Mid,0,20,16,0,3,0,0,1
9750,PhD,Divorced,64,61-80,64325.0,High,0,1307,731,60,353,78,12,73
2607,Graduation,Single,72,61-80,40464.0,Mid,0,630,424,17,118,7,23,41
7214,Graduation,Married,68,61-80,62187.0,High,0,1283,792,0,275,45,45,126
5835,PhD,Divorced,49,46-60,14849.0,Low,0,65,21,2,28,3,2,9
3896,Graduation,Married,41,31-45,27255.0,Low,0,37,22,1,11,0,1,2
10350,PhD,Married,75,61-80,54432.0,Mid,0,38,33,0,5,0,0,0
7786,PhD,Single,39,31-45,29999.0,Low,0,160,68,7,59,10,5,11
2861,Graduation,Single,42,31-45,24072.0,Low,0,23,9,1,6,3,0,4
663,PhD,Single,36,31-45,33996.0,Mid,0,71,40,2,15,8,0,6
10675,PhD,Married,69,61-80,66334.0,High,1,1161,909,11,218,0,0,23
2521,Master,Married,54,46-60,35178.0,Mid,1,59,23,1,13,2,2,18
9592,Graduation,Together,42,31-45,22010.0,Low,0,33,11,2,9,3,0,8
10151,Graduation,Divorced,65,61-80,62204.0,High,0,946,317,46,247,151,46,139
